                                                                                           ,,,"Fall 2025 Final Exam Schedule
Updated December 10, 2025",,,,,
"Note: If you have a conflict, please speak to your instructors. All conflicts must be resolved between the instructors and the student.",,,,,,,,
"To filter data, click the drop-down arrow on the column you want to filter: 
- Use the search box to find specific values.
- Check or uncheck boxes next to the values you want to filter.
- Select ""Add current selection to filter"" to add to your class list.
If you can't find your class, try typing the first few letters, and it should show up in the filter selection.",,,,,,,,
,,,,,,,,
Session,Class,Course Title,Instructor,Date,Start Time,End Time,Building & Room,Campus
Fall 2025,AAID 160 M01,"Intro Arch History,Theory,Crit",McCormick,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"16 W. 61st St., Rm. 924",New York City
Fall 2025,AAID 160 M02,"Intro Arch History,Theory,Crit",Wilford,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"26 W. 61st St., Rm. 408",New York City
Fall 2025,AAID 160 M03,"Intro Arch History,Theory,Crit",Veenendaal,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"16 W. 61st St., Rm. 821",New York City
Fall 2025,AAID 160 M04,"Intro Arch History,Theory,Crit",McCormick,"Monday, December 15, 2025",12:45 PM,2:45 PM,"16 W. 61st St., Rm. 821",New York City
Fall 2025,AAID 160 M05,"Intro Arch History,Theory,Crit",Veenendaal,"Monday, December 15, 2025",12:45 PM,2:45 PM,"16 W. 61st St., Rm. 1029",New York City
Fall 2025,AAID 160 M06,"Intro Arch History,Theory,Crit",Sinclair,"Wednesday, December 17, 2025",3:00 PM,5:00 PM,"Guiliano Global Ctr., Rm. 704",New York City
Fall 2025,AAID 160 M07,"Intro Arch History,Theory,Crit",Brens,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"16 W. 61st St., Rm. 1029",New York City
Fall 2025,AAID 160 W01,"Intro Arch History,Theory,Crit",Justo Caldeira Zuliani,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 135",Long Island
Fall 2025,AAID 160 W02,"Intro Arch History,Theory,Crit",Jung,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 136",Long Island
Fall 2025,AAID 160 W03,"Intro Arch History,Theory,Crit",Justo Caldeira Zuliani,"Monday, December 15, 2025",12:45 PM,2:45 PM,"Education Hall, Rm. 135",Long Island
Fall 2025,AAID 160 W04,"Intro Arch History,Theory,Crit",Jung,"Monday, December 15, 2025",12:45 PM,2:45 PM,"Education Hall, Rm. 138",Long Island
Fall 2025,ACCT 101 M01,Accounting I,Chan,"Thursday, December 18, 2025",8:15 AM,10:15 AM,"16 W. 61st St., Rm. 822",New York City
Fall 2025,ACCT 101 W01,Accounting I,Zeichner,"Monday, December 15, 2025",12:45 PM,2:45 PM,"Anna Rubin Hall, Rm. 314",Long Island
Fall 2025,ACCT 110 M01,Managerial Accounting,Xu,"Monday, December 15, 2025",8:15 AM,10:15 AM,"26 W. 61st St., Rm. 011",New York City
Fall 2025,ACCT 501 M01,Accounting I,Akazi,"Wednesday, December 17, 2025",5:45 PM,7:10 PM,"26 W. 61st St., Rm. 313",New York City
Fall 2025,ACCT 601 M01,Managerial Accounting,Akazi,"Monday, December 15, 2025",5:45 PM,8:25 PM,"26 W. 61st St., Rm. 410",New York City
Fall 2025,ACCT 601 M02,Managerial Accounting,Xu,"Wednesday, December 17, 2025",5:45 PM,8:25 PM,"16 W. 61st St., Rm. 623",New York City
Fall 2025,ACCT 601 M03,Managerial Accounting,Akazi,"Friday, December 19, 2025",3:00 PM,5:00 PM,"26 W. 61st St., Rm. 401",New York City
Fall 2025,ACCT 721 M01,Advanced Financial Accounting,Akazi,"Saturday, December 20, 2025",1:30 PM,6:10 PM,"Guiliano Global Ctr., Rm. 706",New York City
Fall 2025,AENG 410 W01,Aerodynamics,Ioppolo,"Monday, December 15, 2025",5:45 PM,8:25 PM,"Anna Rubin Hall, Rm. 314",Long Island
Fall 2025,AENG 490 W04,Flight Vehicle Design,Scire,"Tuesday, December 16, 2025",3:00 PM,5:00 PM,"Anna Rubin Hall, Rm. 303",Long Island
Fall 2025,AENG 490 W04L,Flight Vehicle Design,Scire,"Tuesday, December 16, 2025",3:00 PM,5:00 PM,"Anna Rubin Hall, Rm. 303",Long Island
Fall 2025,ARCH 162 M01,Global History of Arch II,Amoia,"Thursday, December 18, 2025",12:45 PM,2:45 PM,"Guiliano Global Ctr., Rm. 704",New York City
Fall 2025,ARCH 162 M02,Global History of Arch II,Sculco,"Thursday, December 18, 2025",12:45 PM,2:45 PM,"Guiliano Global Ctr., Rm. 701",New York City
Fall 2025,ARCH 162 M03,Global History of Arch II,del Pino,"Thursday, December 18, 2025",12:45 PM,2:45 PM,"16 W. 61st St., Rm. 821",New York City
Fall 2025,ARCH 162 M04,Global History of Arch II,Veenendaal,"Thursday, December 18, 2025",12:45 PM,2:45 PM,"26 W. 61st St., Rm. 502",New York City
Fall 2025,ARCH 162 W01,Global History of Arch II,Stedeford,"Thursday, December 18, 2025",12:45 PM,2:45 PM,"Education Hall, Rm. 139",Long Island
Fall 2025,ARCH 162 W02,Global History of Arch II,Justo Caldeira Zuliani,"Thursday, December 18, 2025",12:45 PM,2:45 PM,"Education Hall, Rm. 135",Long Island
Fall 2025,ARCH 162 W03,Global History of Arch II,Jung,"Thursday, December 18, 2025",12:45 PM,2:45 PM,"Education Hall, Rm. 136",Long Island
Fall 2025,ARCH 201 M01,Architectural Design I,Nizan,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 502",New York City
Fall 2025,ARCH 201 M02,Architectural Design I,Sepulveda,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 502",New York City
Fall 2025,ARCH 201 M03,Architectural Design I,Acosta Perez,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 502",New York City
Fall 2025,ARCH 201 M04,Architectural Design I,Rouhani,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 502",New York City
Fall 2025,ARCH 201 M05,Architectural Design I,Altwicker,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 502",New York City
Fall 2025,ARCH 201 M07,Architectural Design I,Davila,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 502",New York City
Fall 2025,ARCH 201 W01,Architectural Design I,Cumella,"Friday, December 19, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 216",Long Island
Fall 2025,ARCH 201 W02,Architectural Design I,Lorenzo-Eiroa,"Friday, December 19, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 216",Long Island
Fall 2025,ARCH 201 W03,Architectural Design I,Manninger,"Friday, December 19, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 216",Long Island
Fall 2025,ARCH 201 W04,Architectural Design I,Khan,"Friday, December 19, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 216",Long Island
Fall 2025,ARCH 201 W05,Architectural Design I,Abotaleb,"Friday, December 19, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 135",Long Island
Fall 2025,ARCH 201 W06,Architectural Design I,Van Cott,"Friday, December 19, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 216",Long Island
Fall 2025,ARCH 211 M01,Statics & Strength of Material,Stephani,"Wednesday, December 17, 2025",6:00 PM,9:00 PM,"Guiliano Global Ctr., Rm. 1120",New York City
Fall 2025,ARCH 211 M02,Statics & Strength of Material,Tejeda,"Monday, December 15, 2025",6:00 PM,9:00 PM,"Guiliano Global Ctr., Rm. 406",New York City
Fall 2025,ARCH 221 M01,Building Construction I,Sepulveda,"Wednesday, December 17, 2025",3:00 PM,5:00 PM,"Guiliano Global Ctr., Rm. 502",New York City
Fall 2025,ARCH 221 M02,Building Construction I,Kennedy,"Wednesday, December 17, 2025",3:00 PM,5:00 PM,"26 W. 61st St., Rm. 502",New York City
Fall 2025,ARCH 221 M03,Building Construction I,Ford,"Wednesday, December 17, 2025",3:00 PM,5:00 PM,"26 W. 61st St., Rm. 207",New York City
Fall 2025,ARCH 221 W01,Building Construction I,Cataldo,"Wednesday, December 17, 2025",3:00 PM,5:00 PM,"Education Hall, Rm. 136",Long Island
Fall 2025,ARCH 221 W02,Building Construction I,Theodoridis,"Wednesday, December 17, 2025",3:00 PM,5:00 PM,"Education Hall, Rm. 138",Long Island
Fall 2025,ARCH 221 W03,Building Construction I,Theodoridis,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 138",Long Island
Fall 2025,ARCH 221 W04,Building Construction I,Parkes,"Wednesday, December 17, 2025",3:00 PM,5:00 PM,"Education Hall, Rm. 139",Long Island
Fall 2025,ARCH 301 M01,Architectural Design III,Engelsman,"Thursday, December 18, 2025",12:45 PM,2:45 PM,"Guiliano Global Ctr., Rm. 502",New York City
Fall 2025,ARCH 301 M02,Architectural Design III,Nolan,"Thursday, December 18, 2025",12:45 PM,2:45 PM,"Guiliano Global Ctr., Rm. 502",New York City
Fall 2025,ARCH 301 M03,Architectural Design III,Melis,"Thursday, December 18, 2025",12:45 PM,2:45 PM,"Guiliano Global Ctr., Rm. 502",New York City
Fall 2025,ARCH 301 M04,Architectural Design III,Eisinger,"Thursday, December 18, 2025",12:45 PM,2:45 PM,"Guiliano Global Ctr., Rm. 502",New York City
Fall 2025,ARCH 301 M05,Architectural Design III,Cianfaglione,"Thursday, December 18, 2025",12:45 PM,2:45 PM,"Guiliano Global Ctr., Rm. 502",New York City
Fall 2025,ARCH 301 W01,Architectural Design III,Campani,"Friday, December 19, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 137",Long Island
Fall 2025,ARCH 301 W02,Architectural Design III,Friedman,"Friday, December 19, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 134",Long Island
Fall 2025,ARCH 301 W03,Architectural Design III,Verebes,"Friday, December 19, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 139",Long Island
Fall 2025,ARCH 301 W04,Architectural Design III,Hudes,"Friday, December 19, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 135",Long Island
Fall 2025,ARCH 301 W05,Architectural Design III,Melis,"Friday, December 19, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 136",Long Island
Fall 2025,ARCH 310 M02,Structural Design,Conte,"Tuesday, December 16, 2025",6:00 PM,9:00 PM,"16 W. 61st St., Rm. 722",New York City
Fall 2025,ARCH 310 M03,Structural Design,Ford,"Thursday, December 18, 2025",8:15 AM,10:15 AM,"16 W. 61st St., Rm. 821",New York City
Fall 2025,ARCH 310 W01,Structural Design,Defelice,"Thursday, December 18, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 134",Long Island
Fall 2025,ARCH 310 W02,Structural Design,Nabatian,"Thursday, December 18, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 137",Long Island
Fall 2025,ARCH 310 W03,Structural Design,Defelice,"Thursday, December 18, 2025",12:45 PM,2:45 PM,"Education Hall, Rm. 134",Long Island
Fall 2025,ARCH 324 M01,Environmental Systems I,Acer,"Thursday, December 18, 2025",6:00 PM,9:00 PM,"26 W. 61st St., Rm. 401",New York City
Fall 2025,ARCH 324 M02,Environmental Systems I,Kirschman,"Thursday, December 18, 2025",8:15 AM,10:15 AM,"16 W. 61st St., Rm. 923",New York City
Fall 2025,ARCH 324 M03,Environmental Systems I,del Pino,"Thursday, December 18, 2025",8:15 AM,10:15 AM,"26 W. 61st St., Rm. 207",New York City
Fall 2025,ARCH 324 M04,Environmental Systems I,Buchheit,"Thursday, December 18, 2025",8:15 AM,10:15 AM,"16 W. 61st St., Rm. 623",New York City
Fall 2025,ARCH 324 W01,Environmental Systems I,Snell,"Thursday, December 18, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 138",Long Island
Fall 2025,ARCH 324 W02,Environmental Systems I,Stedeford,"Thursday, December 18, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 136",Long Island
Fall 2025,ARCH 324 W03,Environmental Systems I,Theodoridis,"Thursday, December 18, 2025",12:45 PM,2:45 PM,"Education Hall, Rm. 138",Long Island
Fall 2025,ARCH 326 W01,Fndtion of AI Gen & Creativity,Blasetti,"Thursday, December 18, 2025",12:45 PM,2:45 PM,"Education Hall, Rm. 140",Long Island
Fall 2025,ARCH 327 M01,Comp Aided Con Drwgs,Nolan,"Wednesday, December 17, 2025",3:00 PM,5:00 PM,"16 W. 61st St., Rm. 924",New York City
Fall 2025,ARCH 327 M02,Comp Aided Con Drwgs,Kennedy,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 501",New York City
Fall 2025,ARCH 327 M03,Comp Aided Con Drwgs,Soniprasad,"Wednesday, December 17, 2025",3:00 PM,5:00 PM,"Guiliano Global Ctr., Rm. 501",New York City
Fall 2025,ARCH 327 W01,Comp Aided Con Drwgs,Gati,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 137",Long Island
Fall 2025,ARCH 327 W02,Comp Aided Con Drwgs,Gati,"Wednesday, December 17, 2025",3:00 PM,5:00 PM,"Education Hall, Rm. 137",Long Island
Fall 2025,ARCH 328 W01,"Gen AI, Des & Fab",Blasetti,"Thursday, December 18, 2025",12:45 PM,2:45 PM,"Education Hall, Rm. 140",Long Island
Fall 2025,ARCH 340 M01,Visualization III,Azoulai,"Friday, December 19, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 702",New York City
Fall 2025,ARCH 340 M02,Visualization III,Barnette,"Friday, December 19, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 319",New York City
Fall 2025,ARCH 340 M03,Visualization III,0,"Friday, December 19, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 606",New York City
Fall 2025,ARCH 340 M04,Visualization III,0,"Friday, December 19, 2025",3:00 PM,5:00 PM,"16 W. 61st St., Rm. 919",New York City
Fall 2025,ARCH 340 W01,Visualization III,Abotaleb,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 138",Long Island
Fall 2025,ARCH 340 W02,Visualization III,Mudaliar,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 137",Long Island
Fall 2025,ARCH 340 W03,Visualization III,Barzideh,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 139",Long Island
Fall 2025,ARCH 361 M01,Arch Hist Sem,Vossoughian,"Wednesday, December 17, 2025",12:45 PM,2:45 PM,"26 W. 61st St., Rm. 314",New York City
Fall 2025,ARCH 372 M02,Environmental Site Planning,Gandhi,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 1013",New York City
Fall 2025,ARCH 372 M03,Environmental Site Planning,Gutierrez Huerta,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 1013",New York City
Fall 2025,ARCH 372 W01,Environmental Site Planning,Mahdavi,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 134",Long Island
Fall 2025,ARCH 401 M01,Integrative Design V,Cody,"Friday, December 19, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 1013",New York City
Fall 2025,ARCH 401 M02,Integrative Design V,Ruppert,"Friday, December 19, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 1013",New York City
Fall 2025,ARCH 401 M03,Integrative Design V,Neff,"Friday, December 19, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 1013",New York City
Fall 2025,ARCH 401 M04,Integrative Design V,Fink,"Friday, December 19, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 1013",New York City
Fall 2025,ARCH 401 M05,Integrative Design V,Wallance,"Friday, December 19, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 1013",New York City
Fall 2025,ARCH 401 W01,Integrative Design V,Papazian,"Friday, December 19, 2025",3:00 PM,5:00 PM,"Education Hall, Rm. 133",Long Island
Fall 2025,ARCH 401 W02,Integrative Design V,Cataldo,"Friday, December 19, 2025",3:00 PM,5:00 PM,"Education Hall, Rm. 139",Long Island
Fall 2025,ARCH 401 W03,Integrative Design V,Chacon-Dominguez,"Friday, December 19, 2025",3:00 PM,5:00 PM,"Education Hall, Rm. 136",Long Island
Fall 2025,ARCH 411 M01,Advanced Structural Concepts I,Ford,"Monday, December 15, 2025",12:45 PM,2:45 PM,"16 W. 61st St., Rm. 924",New York City
Fall 2025,ARCH 411 W01,Advanced Structural Concepts I,Defelice,"Monday, December 15, 2025",12:45 PM,2:45 PM,"Education Hall, Rm. 136",Long Island
Fall 2025,ARCH 412 M01,Adv Structural Concepts II,Markov,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,Zoom,New York City
Fall 2025,ARCH 413 M01,Arch Simulation & Fabrication,Avilan Medina,"Wednesday, December 17, 2025",6:00 PM,9:00 PM,"Guiliano Global Ctr., Rm. 1013",New York City
Fall 2025,ARCH 413 M02,Arch Simulation & Fabrication,Gonzalez,"Wednesday, December 17, 2025",3:00 PM,5:00 PM,"16 W. 61st St., Rm. 919",New York City
Fall 2025,ARCH 413 M03,Arch Simulation & Fabrication,Doria,"Wednesday, December 17, 2025",6:00 PM,9:00 PM,Zoom,New York City
Fall 2025,ARCH 413 M04,Arch Simulation & Fabrication,Bermudez,"Wednesday, December 17, 2025",6:00 PM,9:00 PM,Zoom,New York City
Fall 2025,ARCH 413 W01,Arch Simulation & Fabrication,Snell,"Wednesday, December 17, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 135",Long Island
Fall 2025,ARCH 413 W02,Arch Simulation & Fabrication,Snell,"Wednesday, December 17, 2025",3:00 PM,5:00 PM,"Education Hall, Rm. 135",Long Island
Fall 2025,ARCH 423 M01,Project Integration Studio,Soniprasad,"Friday, December 19, 2025",3:00 PM,5:00 PM,"Guiliano Global Ctr., Rm. 1013",New York City
Fall 2025,ARCH 423 W01,Project Integration Studio,Sargent,"Friday, December 19, 2025",3:00 PM,5:00 PM,"Education Hall, Rm. 135",Long Island
Fall 2025,ARCH 474 M01,RE Fund Develop,Ullah,"Thursday, December 18, 2025",12:45 PM,2:45 PM,"26 W. 61st St., Rm. 408",New York City
Fall 2025,ARCH 474 W01,RE Fund Develop,Ullah,"Thursday, December 18, 2025",12:45 PM,2:45 PM,"Education Hall, Rm. 133",Long Island
Fall 2025,ARCH 481 M01,Professional Practice I,Brens,"Friday, December 19, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 405",New York City
Fall 2025,ARCH 481 M02,Professional Practice I,Ullah,"Friday, December 19, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 406",New York City
Fall 2025,ARCH 481 W01,Professional Practice I,Dinatale Scotto,"Thursday, December 18, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 139",Long Island
Fall 2025,ARCH 481 W02,Professional Practice I,Papazian,"Thursday, December 18, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 140",Long Island
Fall 2025,ARCH 501 M11,Architectural Design VII,Gandhi,"Friday, December 19, 2025",3:00 PM,5:00 PM,"Guiliano Global Ctr., Rm. 1013",New York City
Fall 2025,ARCH 501 M12,Architectural Design VII,Santamaria,"Friday, December 19, 2025",3:00 PM,5:00 PM,"Guiliano Global Ctr., Rm. 1120",New York City
Fall 2025,ARCH 501 M13,Architectural Design VII,Sordi,"Friday, December 19, 2025",3:00 PM,5:00 PM,"Guiliano Global Ctr., Rm. 1013",New York City
Fall 2025,ARCH 501 M14,Architectural Design VII,Vuono,"Friday, December 19, 2025",3:00 PM,5:00 PM,"Guiliano Global Ctr., Rm. 1013",New York City
Fall 2025,ARCH 501 M15,Architectural Design VII,Bermudez,"Friday, December 19, 2025",3:00 PM,5:00 PM,"Guiliano Global Ctr., Rm. 1120",New York City
